timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1437944340,1437943216,-0.0125206,0.00162415,-5.85322e-05,0.08,0.0,0.0,0.0,-1.0
1437948234,1437947125,-0.0126189,0.00290155,-6.37443e-05,0.08,0.0,0.0,0.0,-1.0
1437951196,1437950086,-0.0125465,0.00149674,-2.00341e-05,0.08,0.0,0.0,0.0,-1.0
1437955276,1437954147,-0.0125246,0.002688,-3.15026e-05,0.08,0.0,0.0,0.0,-1.0
1437958331,1437957106,-0.0131992,0.0024865,-3.39822e-05,0.08,0.0,0.0,0.0,-1.0
1437961223,1437960126,-0.0122586,0.0020279,-7.07375e-05,0.08,0.0,0.0,0.0,-1.0
1437965141,1437964192,-0.0125658,0.00231404,-4.1424e-05,0.08,0.0,0.0,0.0,-1.0
1437968273,1437967094,-0.0124326,0.00166688,-5.54184e-05,0.08,0.0,0.0,0.0,-1.0
1437972195,1437971147,-0.0123623,0.00221949,-4.22536e-05,0.08,0.0,0.0,0.0,-1.0
1437975264,1437974133,-0.0122115,0.00203603,-2.81541e-05,0.08,0.0,0.0,0.0,-1.0
1437978234,1437977125,-0.012728,0.00255643,-5.75252e-05,0.08,0.0,0.0,0.0,-1.0
1437983221,1437982112,-0.0125298,0.00239406,-3.31665e-05,0.08,0.0,0.0,0.0,-1.0
1437986176,1437985126,-0.0124889,0.00235646,-4.15306e-05,0.08,0.0,0.0,0.0,-1.0
1437990146,1437989353,-0.0123762,0.00233628,-8.92336e-06,0.08,0.0,0.0,0.0,-1.0
1437993257,1437992128,-0.0130493,0.00252231,-4.16965e-05,0.08,0.0,0.0,0.0,-1.0
1437996227,1437995221,-0.0124102,0.00190854,-3.78612e-05,0.08,0.0,0.0,0.0,-1.0
1438000349,1437999198,-0.0126063,0.00213805,-4.03943e-05,0.08,0.0,0.0,0.0,-1.0
