timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1438571176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888007,0.00779704,0.00309758,0.459754,0.0,0.0,0.0,0.0,-0.0242472,0.0782667,0.0242191,0.0,0.0,0.0,0.0,0,0
1438592131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888015,0.00766461,0.00313943,0.459741,0.0,0.0,0.0,0.0,-0.0436399,0.0518626,0.0692076,0.0,0.0,0.0,0.0,0,0
1438613128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887988,0.00758635,0.00310572,0.459793,0.0,0.0,0.0,0.0,-0.16892,0.0146825,-0.00199979,0.0,0.0,0.0,0.0,0,0
1438633011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887966,0.0074457,0.00318615,0.459838,0.0,0.0,0.0,0.0,0.00404346,0.0862493,0.012253,0.0,0.0,0.0,0.0,0,0
1438654099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887962,0.00757945,0.00330788,0.459842,0.0,0.0,0.0,0.0,0.0956956,-0.126142,0.0584083,0.0,0.0,0.0,0.0,0,0
1438675128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888015,0.00787729,0.00328002,0.459736,0.0,0.0,0.0,0.0,0.320427,-0.181905,0.154371,0.0,0.0,0.0,0.0,0,0
1438697059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888008,0.00858191,0.00287332,0.459738,0.0,0.0,0.0,0.0,-0.129104,0.225516,-0.06441,0.0,0.0,0.0,0.0,0,0
1438718138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88801,0.00821162,0.00303499,0.459741,0.0,0.0,0.0,0.0,0.0155181,0.225679,-0.0502973,0.0,0.0,0.0,0.0,0,0
1438738098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887989,0.00798339,0.00299462,0.459786,0.0,0.0,0.0,0.0,0.0930206,-0.0738882,-0.00967054,0.0,0.0,0.0,0.0,0,0
1438760155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887963,0.00775624,0.00297906,0.45984,0.0,0.0,0.0,0.0,0.28277,-0.0407162,-0.00822835,0.0,0.0,0.0,0.0,0,0
1438770057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.0076719,0.00298674,0.459822,0.0,0.0,0.0,0.0,0.0746624,0.0353884,-0.129492,0.0,0.0,0.0,0.0,0,0
1438790149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887963,0.0075741,0.00332791,0.45984,0.0,0.0,0.0,0.0,-0.0463126,0.0669348,-0.184831,0.0,0.0,0.0,0.0,0,0
1438822222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887974,0.00791172,0.00336374,0.459814,0.0,0.0,0.0,0.0,-0.280462,-0.000957225,-0.275838,0.0,0.0,0.0,0.0,0,0
