timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1457606985,-8.9153,-12.0164,0.777692,0.981236,0.00997162,-0.134108,1.0,-0.0477346,-0.112139,-2.71386
1457617147,-8.9153,-12.0164,0.776634,0.981236,0.0138645,-0.137671,1.0,-0.0564723,-0.109122,-2.69053
1457627457,-8.9153,-12.0164,0.778535,0.981236,0.0132313,-0.137838,1.0,-0.0638623,-0.104103,-2.68125
1457637635,-8.9153,-12.0164,0.781429,0.981236,0.0121899,-0.138058,1.0,-0.0692215,-0.0994857,-2.6983
1457647801,-8.9153,-12.0164,0.782439,0.981236,0.0118427,-0.138119,1.0,-0.0723694,-0.0983985,-2.71219
1457657959,-8.9153,-12.0164,0.785493,0.981236,0.0108089,-0.138332,1.0,-0.0723507,-0.0987241,-2.72802
1457668124,-8.9153,-12.0164,0.787571,0.981236,0.0101585,-0.138477,1.0,-0.0687058,-0.101337,-2.7283
1457678320,-8.9153,-12.0164,0.78973,0.981236,0.00953674,-0.138618,1.0,-0.0654925,-0.10103,-2.73852
1457688573,-8.9153,-12.0164,0.791893,0.981236,0.0089016,-0.138729,1.0,-0.06644,-0.0981062,-2.74471
1457698736,-8.9153,-12.0164,0.793,0.981236,0.00857544,-0.138773,1.0,-0.0689614,-0.0955125,-2.75357
1457708904,-8.9153,-12.0164,0.796212,0.981236,0.0123577,-0.138994,1.0,-0.0508692,-0.0975873,-2.7624
1457719066,-8.9153,-12.0164,0.798434,0.981236,0.0119324,-0.139107,1.0,-0.0391304,-0.0999895,-2.75724
1457729248,-8.9153,-12.0164,0.800698,0.981236,0.0116348,-0.139294,1.0,-0.0282244,-0.104473,-2.76464
1457739553,-8.9153,-12.0164,0.8029,0.981236,0.0113907,-0.139523,1.0,-0.0193353,-0.111622,-2.74843
1457749700,-8.9153,-12.0164,0.805163,0.981236,0.0112305,-0.13979,1.0,-0.00995768,-0.116543,-2.76115
1457759861,-8.9153,-12.0164,0.807346,0.981236,0.0111275,-0.140081,1.0,-0.00335781,-0.119865,-2.74888
1457770024,-8.9153,-12.0164,0.809542,0.981236,0.0110073,-0.140362,1.0,-0.00369878,-0.118968,-2.74553
1457780187,-8.9153,-12.0164,0.811683,0.981236,0.0108032,-0.140566,1.0,-0.0136012,-0.111262,-2.73855
1457790462,-8.9153,-12.0164,0.81388,0.981236,0.0104275,-0.140657,1.0,-0.030914,-0.0990977,-2.73617
1457800619,-8.9153,-12.0164,0.816097,0.981236,0.00999069,-0.140713,1.0,-0.0409856,-0.0930529,-2.75213
1457810770,-8.9153,-12.0164,0.815684,0.981236,0.00656509,-0.139235,1.0,-0.0560388,-0.0829826,-2.73834
1457820931,-8.9153,-12.0164,0.817873,0.981236,0.00599098,-0.139202,1.0,-0.0616084,-0.079365,-2.74039
1457831080,-8.9153,-12.0164,0.820034,0.981236,0.0054245,-0.139158,1.0,-0.0599089,-0.0815998,-2.73539
1457841337,-8.9153,-12.0164,0.822232,0.981236,0.0049324,-0.139174,1.0,-0.0539807,-0.0850054,-2.73992
1457851509,-8.9153,-12.0164,0.824366,0.981236,0.00446892,-0.1392,1.0,-0.049162,-0.089248,-2.72552
1457861668,-8.9153,-12.0164,0.826522,0.981236,0.00403023,-0.139261,1.0,-0.0469611,-0.0915937,-2.7288
1457871817,-8.9153,-12.0164,0.828639,0.981236,0.00356483,-0.139305,1.0,-0.0497197,-0.0910568,-2.72387
1457881986,-8.9153,-12.0164,0.830785,0.981236,0.00295258,-0.139267,1.0,-0.0644791,-0.0826453,-2.72385
